Sort order,"Major area, region, country or area of destination",Notes,Country code,Type of data (a),1990,2000,2010,2013,1990,2000,2010,2013,1990,2000,2010,2013
142,Estonia,,233,B,  381 997,  249 512,  217 890,  209 984,  171 691,  100 844,  87 644,  84 344,  210 306,  148 668,  130 246,  125 640
143,Faeroe Islands,,234,B,  2 881,  2 243,  3 298,  3 641,  1 613,  1 259,  1 871,  2 070,  1 268,   984,  1 427,  1 571
144,Finland,(15),246,B,  63 255,  136 203,  248 135,  293 167,  31 682,  67 469,  125 389,  148 896,  31 573,  68 734,  122 746,  144 271
145,Iceland,,352,B,  9 584,  15 892,  35 091,  34 377,  4 248,  7 207,  17 619,  16 681,  5 336,  8 685,  17 472,  17 696
146,Ireland,,372,B,  227 961,  384 872,  565 596,  735 535,  112 093,  191 718,  281 234,  354 939,  115 868,  193 154,  284 362,  380 596
147,Isle of Man,,833,B,  34 769,  39 002,  43 947,  44 688,  16 371,  18 725,  21 703,  22 149,  18 398,  20 277,  22 244,  22 539
148,Latvia,,428,B,  646 007,  430 178,  343 271,  282 887,  290 800,  177 632,  140 072,  110 807,  355 207,  252 546,  203 199,  172 080
149,Lithuania,,440,B,  349 258,  212 140,  215 268,  147 781,  151 578,  92 069,  93 564,  62 875,  197 680,  120 071,  121 704,  84 906
150,Norway,(16),578,B,  195 214,  298 637,  547 539,  694 508,  100 655,  148 266,  279 574,  358 731,  94 559,  150 371,  267 965,  335 777
151,Sweden,,752,B,  788 767, 1 003 798, 1 384 929, 1 519 510,  383 085,  480 211,  673 083,  740 490,  405 682,  523 587,  711 846,  779 020
152,United Kingdom of Great Britain and Northern Ireland,,826,B, 3 647 126, 4 705 567, 7 005 100, 7 824 131, 1 754 942, 2 217 266, 3 420 836, 3 786 267, 1 892 184, 2 488 301, 3 584 264, 4 037 864
153,Southern Europe,,925,, 4 142 646, 7 166 821, 14 686 230, 15 998 197, 1 962 269, 3 439 422, 7 181 984, 7 685 406, 2 180 377, 3 727 399, 7 504 246, 8 312 791
154,Albania,,8,C,  66 013,  76 695,  91 140,  96 798,  30 579,  35 990,  42 769,  45 335,  35 434,  40 705,  48 371,  51 463
155,Andorra,,20,C,  38 904,  42 146,  44 408,  45 086,  20 810,  22 092,  23 415,  23 772,  18 094,  20 054,  20 993,  21 314
156,Bosnia and Herzegovina,,70,I R,  56 000,  96 001,  26 383,  23 197,  26 538,  46 452,  13 125,  11 577,  29 462,  49 549,  13 258,  11 620
157,Croatia,,191,B R,  475 438,  615 896,  714 717,  756 980,  222 531,  288 993,  336 486,  355 946,  252 907,  326 903,  378 231,  401 034
158,Gibraltar,,292,B,  8 847,  8 129,  9 262,  9 662,  4 625,  3 947,  4 501,  4 691,  4 222,  4 182,  4 761,  4 971
159,Greece,,300,C,  412 093,  731 706,  954 784,  988 245,  220 025,  398 444,  520 810,  532 775,  192 068,  333 262,  433 974,  455 470
160,Holy See,(17),336,I,   770,   787,   799,   799,   376,   379,   377,   375,   394,   408,   422,   424
161,Italy,,380,B, 1 428 219, 2 121 688, 4 798 701, 5 721 457,  642 414,  976 691, 2 242 943, 2 638 768,  785 805, 1 144 997, 2 555 758, 3 082 689
162,Malta,,470,B,  15 077,  20 603,  29 371,  34 455,  7 013,  9 850,  14 799,  17 391,  8 064,  10 753,  14 572,  17 064
163,Montenegro,,499,B,..,..,  51 937,  50 708,..,..,  20 880,  19 831,..,..,  31 057,  30 877
164,Portugal,,620,B,  435 782,  634 975,  854 186,  893 847,  208 325,  312 195,  401 469,  417 220,  227 457,  322 780,  452 717,  476 627
165,San Marino,,674,C,  3 310,  4 045,  4 399,  4 857,  1 728,  2 175,  2 435,  2 696,  1 582,  1 870,  1 964,  2 161
166,Serbia,(18),688,B,  99 269,  856 763,  510 211,  532 457,  46 712,  379 942,  221 211,  229 388,  52 557,  476 821,  289 000,  303 069
167,Slovenia,,705,B,  178 077,  174 437,  228 902,  233 293,  89 113,  92 398,  131 130,  133 605,  88 964,  82 039,  97 772,  99 688
168,Spain,(19),724,B,  829 705, 1 657 285, 6 234 283, 6 466 605,  401 819,  817 489, 3 150 238, 3 193 844,  427 886,  839 796, 3 084 045, 3 272 761
169,The former Yugoslav Republic of Macedonia,,807,B R,  95 142,  125 665,  132 747,  139 751,  39 661,  52 385,  55 396,  58 192,  55 481,  73 280,  77 351,  81 559
170,Western Europe,,926,, 16 246 901, 20 476 867, 23 450 047, 24 343 835, 8 480 619, 10 155 934, 11 359 789, 11 758 151, 7 766 282, 10 320 933, 12 090 258, 12 585 684
171,Austria,,40,B,  793 239,  996 547, 1 275 992, 1 333 807,  368 287,  478 318,  608 918,  635 373,  424 952,  518 229,  667 074,  698 434
